cardID,adm_eng,cd_type,area_v,area_sqm,basin,clmt_txt,clm_indx
50,Simbirsk,province," 40,547 "," 17,841 ",Caspian Sea,rather temperate,2
51,Saratov,province," 100,250 "," 44,110 ",Caspian Sea,temperate,2
52,Samara,province," 117,962 "," 51,903 ",Caspian Sea,temperate,2
53,Astrakhan,province," 162,766 "," 71,617 ",Caspian Sea,warm,2
54,Orlov,province," 41,562 "," 18,287 ",Caspian Sea,temperate,2
55,Kaluga,province," 27,746 "," 12,208 ",Caspian Sea,extremely temperate,2
56,Tula,province," 26,853 "," 11,815 ",Caspian Sea,temperate,2
57,Moscow,province," 28,511 "," 12,545 ",Caspian Sea,temperate and stable,4
58,Ryazan,province," 37,084 "," 16,317 ",Caspian Sea,temperate and favorable,4
59,Tambov,province," 58,171 "," 25,595 ",Caspian Sea,temperate,2
60,Vladimir,province," 44,708 "," 18,352 ",Caspian Sea,temperate,2
61,Penza,province," 33,394 "," 14,693 ",Caspian Sea,favorable,2
62,Vyatka,province," 120,958 "," 53,222 ",Caspian Sea,generally harsh,-3
63,Perm,province," 293,351 "," 129,074 ",Caspian Sea,generally cold,1
64,Orenburg,province," 317,792 "," 139,828 ",Caspian Sea,stable,2
65,Vologda,province," 33,711 "," 148,329 ",White Sea,extremely harsh,-3
66,Arkhangelsk,province," 750,906 "," 330,399 ",White Sea,cold and healthful,4
67,Tobolsk,province," 1,163,926 "," 512,127 ",Frozen Sea,generally cold,1
68,Tomsk,province," 730,934 "," 321,611 ",Frozen Sea,changeable,-1
69,Yenisei,province, -   , -   ,Frozen Sea,changeable,-1
70,Irkutsk,province, -   , -   ,Frozen Sea,temperate,2
71,Yakutsk,province, -   , -   ,[none],cold,1
72,Zabaikal,province, -   , -   ,[none],harsh and changeable,-4
73,Chukotka and Kamchatka,province, -   , -   ,Eastern Ocean,harsh,-3
74,Russian American Company Territories,province, -   , -   ,Eastern Ocean,cold,1
75,Caucasus,region, -   , -   ,Black & Caspian seas,harsh,-3
76,Tiflis,province, -   , -   ,Black & Caspian seas,no notation,-
77,Kutaisi,province, -   , -   ,Black & Caspian seas,no notation,-
78,Yerivan,province, -   , -   ,Black & Caspian seas,temperate,2
79,Shemakha,province, -   ," 1,030 ",Black & Caspian seas,no notation,-
80,Derbent,province, -   , 270 ,Black & Caspian seas,no notation,-
,,,,,,,
,,,,,,,
,,,,,,,
