featID,cardID,feature,ft_text,ft_type
149,48,wharf or pier,In the province there are five very important piers.,text
150,48,windmills,as many as 200 windmills,graphic
151,49,fortress,Vizhnaya fortress on the Kama River.,text
152,49,mountains,Ural mountains,graphic
153,49,town,Kazan was founded in 1251 by the order of Tsar Saip of the Golden Horde.,text
154,50,fairs,"trade in lard, leather, and grain",graphic
155,50,town,Simbirsk was founded in 1648.,text
156,50,wharf or pier,Simbirskskaya and Promzinskaya piers.,text
157,51,forest,bountiful forest,graphic
158,51,lakes,none,graphic
159,51,town,Saratov was founded in 1591 by Tsar Feodor Ioa[n]novich.,text
160,51,wharf or pier,Dubovka and Tsaritsynskaya piers,text
161,52,lakes,none,graphic
162,52,sulphur springs,none,graphic
163,52,town,The city of Samara was founded in 1591.,text
164,52,wharf or pier,Samara pier,text
165,53,medicinal herbs,Herbs for use in apothecaries are grown here.,graphic
166,53,port,Principal military port on the Caspian Sea founded by Peter I in 1722.,text
167,53,salt lakes,none,graphic
168,53,town,Astrakhan was founded by Tsar Ivan Vasil'ev[ich] the Terrible in 1554.,text
169,53,watermelons,none,graphic
170,54,wharf or pier,Orlovskaya and Brianskaya piers,text
171,55,forest,bountiful forest,graphic
172,55,fortress,"the Gzhanskaya, Belaya, and Zubtsovskaya fortresses ",text
173,55,town,The date of the founding of Kaluga is unknown.,text
174,57,historic site,Borodino field,graphic
175,57,mineral springs,none,graphic
176,57,monument,"Bell weighing 12,000 poods",graphic
177,57,monument,Monument to Minin and Pozharsky,graphic
178,57,monument,Sukharev tower built by Peter I,graphic
179,57,town,"Moscow, the original capital of the Russian State. Moscow is one of the most ancient cities in Russia.",text
180,57,village,Kolomenskoe village,graphic
181,58,fortress,the ancient Zarai fortress,text
182,58,town,Riazan was founded in the beginning of the thirteenth century.,text
183,58,wharf or pier,Riazan and Kasimov piers,text
184,59,forest,bountiful forest,graphic
185,59,mineral springs,Lipetsky Mineral Springs,graphic
186,59,town,Tambov was founded by Tsar Mikhail Feodorovich in 1636.,text
187,59,wharf or pier,Important pier on the Tsna,text
188,60,forest,bountiful forest,graphic
189,60,lakes,"Plesheevo Lake, where Peter I sailed.",graphic
190,60,monument,"the Golden Gates, built in 1164",text
191,60,town,Vladimir was founded in 1118 by Vladimir Monomakh.,text
192,61,forest,bountiful forest,graphic
193,61,mountains,Alaunskie mountains,graphic
194,61,wharf or pier,Pier on the Moksha River.,text
195,62,forest,Ural mountains,graphic
196,62,mountains,none,graphic
197,62,town,Viatka was founded at the end of the twelfth century by people from Novgorod.,text
198,63,fairs,Irbit fair,graphic
199,63,wharf or pier,Perm pier on the Kama River,text
200,64,fortress,Orenburg fortress,text
201,64,mountains,Ural mountains,graphic
202,64,town,Ufa was founded by Tsar Feodor Ivanovich in 1586.,text
203,65,forest,bountiful forest,graphic
204,65,mountains,Ural mountains,graphic
205,65,town,Vologda is one of the oldest cities in Russia.,text
206,65,wharf or pier,Noshul'skaya pier,text
207,66,forest,bountiful forest,graphic
208,66,fortress,The Novodvinskaya fortress was built by Peter I in 1701.,text
209,66,mountains,none,graphic
210,66,town,Arkhangel'sk was founded in 1637.,text
211,67,fairs,none,graphic
212,67,forest,bountiful forest,graphic
213,67,fortress,Omsk frontier fortress,text
214,67,lakes,"roughly 3,500 lakes",graphic
215,67,swamps,none,graphic
216,67,town,Tobolsk was founded in 1587.,text
217,68,customs,A customs house and a trade center in Semipalatinsk,text
218,68,forest,bountiful forest,graphic
219,69,factory,Troitskoi lard-rendering factory,text
220,69,forest,bountiful forest,graphic
221,69,mountains,none,graphic
222,69,steppe,Saganskaya steppe,graphic
223,69,town,Krasnoiarsk was founded in 1628.,text
224,70,fortress,Irkutsk fortress,text
225,70,region,Within the boundaries of the province lie the gradonachal'stvo (urban administrative unit) of Kiakhta and the remarkable city of Troitskosavsk.,text
226,71,forest,bountiful forest,graphic
227,71,mountains,none,graphic
228,71,port,The port of Ayan is located in Okhotsk.,text
229,71,swamps,none,graphic
230,72,forest,bountiful forest,graphic
231,72,mountains,none,graphic
232,72,valleys,expansive valleys,text
233,73,forest,shipgrade forests,graphic
234,73,harbor,Petropavlovsk harbor,text
235,73,hot springs,none,text
236,73,mountains,eternally snow-capped mountains,text
237,73,mountains,"the ""marvelous"" Abachinskaya, Koriatskaya, and Kliusevskaya or Kamchatskaya peaks",both
238,73,volcanoes,volcanoes or fire-breathing hills,both
239,74,forest,bountiful forest,graphic
240,74,mountains,eternally snow-capped mountains,graphic
241,74,swamps,none,graphic
242,74,town,"The distance from Okhotsk to St. Petersburg is 9,783 versts; by sea to Sitka is another 6,000.",text
243,74,town,Trade was established by Baranov.,text
244,74,volcanoes,none,graphic
245,76,fortress,Tifliskaya and New Zakataly fortresses,text
246,76,region,"Within the boundaries of Tiflis province there are 4 districts [okrug]: Gorskii, Osetinskii, Tushino-Pshavo Khevsurskii, and Velokanskii.",text
247,76,town,"In 1826, on September 19th, Russians secured a victory under the leadership of Count Paskevich Erivanskii over Abas Mirza.",text
248,76,town,"the spectacular Church of St. David, built in the 14th century",text
249,76,town,Tiflis is the former capital of Georgia and the burial place of Griboedov.,text
250,77,fortress,"Akhaltsykhskaya fortress and citadel, built in the beginning of the 11th century",text
251,77,monument,the remarkable fortress Redut Kale is in Mingrelia,text
252,77,ruins,ruins of a marble church built in the 11th century,text
253,77,town,Kutais is one of the oldest cities in Georgia,text
254,77,town,"the fortified city of Poti, at the mouth of the River Rioni",text
255,78,fortress,In 1837 a fortress was established in Aleksandropol' in the presence of Emperor Nicholas I.,text
256,78,fortress,two fortresses,text
257,78,monastery,The wonderful monastery of Echmiadzin is located in Erivan.,text
258,78,mountains,none,graphic
259,78,town,Erivan was taken in the reign of Nicholas I in 1827.,text
260,79,fire,Eternal fires worshipped by Indians.,text
261,79,fortress,"In the province there are two fortresses, at Baku and Shusha.",text
262,79,harbor,Harbor at Baku,graphic
263,79,sulphur springs,none,graphic
264,79,town,Shemakha was reestablished as a city in 1824.,text
265,80,fortress,Derbent fortress and citadel,text
266,80,mountains,none,graphic
267,80,palace,"former khan's palace, once the residence of Peter the Great",text
268,80,town,Derbent was founded in the sixth century by the Persian Tsar Nushirvan and taken by the Russians in 1796.,text
269,80,wharf or pier,southern pier,graphic
